date	drop_ID	Species	tube	male	hour_spawning	hour_video	time_after_spawning	time_after_spawning.min	time_after_min_round	egg_present	replicate	Total_Sperm	Total_Paths	Slow_Sperm	Motile_Sperm	Progressive_Motile_Sperm	Total_motile_sperm	Percent_Motile	Percent_Progressive	Percent_Total_Motile	Avg_Motile_VCL	Avg_Motile_VAP	Avg_Motile_VSL	Avg_Prog_Motile_VCL	Avg_Prog_Motile_VAP	Avg_Prog_Motile_VSL	Avg_Tot_Motile_VCL	Avg_Tot_Motile_VAP	Avg_Tot_Motile_VSL	Z-video	coments
2024-02-25	c	Lophelia	2	59	17:20	17:31	00:11	0.183	0.500	no	3	82	14	4	8	2	10	9.75609756097561	2.4390243902439	12.1951219512195	44.5783235863866	39.2511155758777	17.9390791243929	102.714167608936	95.3747078367594	70.1247767473703	56.2054923908965	50.4758340280541	28.3762186489883	down	"many stuck, some swiming fast"
2024-02-25	a	Lophelia	1	71	20:20	21:06	00:46	0.767	0.750	yes	1	106	89	51	15	22	37	14.1509433962264	20.7547169811321	34.9056603773585	54.7211705792538	44.0038328870308	23.8664307939579	126.370576840016	112.727787136293	104.72548713125	98.1759230668719	84.7150047364263	72.8678552248321	down	"many stuck, some swiming fast"
2024-02-25	b	Lophelia	1	71	20:20	21:06	00:46	0.767	0.750	yes	2	119	95	54	15	26	41	12.6050420168067	21.8487394957983	34.453781512605	61.2643087739314	49.2556346386881	32.1371350716792	123.563366485268	106.706147438056	99.3790143427988	100.771028298193	85.6876671456041	74.7783268045843	down	"many stuck, some swiming fast"
2024-02-25	c	Lophelia	1	71	20:20	21:06	00:46	0.767	0.750	yes	3	115	94	43	29	22	51	25.2173913043478	19.1304347826087	44.3478260869565	61.6755904799915	48.1766059504466	32.508601069706	121.500307369474	110.761685956033	104.37309361932	87.4823310989841	75.1740914430525	63.5089704048336	down	"many stuck, some swiming fast"
2024-02-25	a	Lophelia	1	71	20:20	20:59	00:39	0.650	0.750	no	1	112	94	56	18	20	38	16.0714285714286	17.8571428571429	33.9285714285714	56.888200838307	42.2435056087355	22.7899064674606	123.180015421582	114.640103954041	97.2646213177963	91.7786295663463	80.3469784220542	61.9871248097425	down	"many stuck, some swiming fast"
2024-02-25	b	Lophelia	1	71	20:20	20:59	00:39	0.650	0.750	no	2	96	86	57	16	13	29	16.6666666666667	13.5416666666667	30.2083333333333	66.9353070191488	57.5951005989613	40.3756607462101	127.968683114641	115.863509239441	105.718891995018	94.2950963033349	83.715421713659	69.6674540646414	down	"many stuck, some swiming fast"
2024-02-25	c	Lophelia	1	71	20:20	20:59	00:39	0.650	0.750	no	3	102	91	59	11	21	32	10.7843137254902	20.5882352941176	31.3725490196078	52.7021615970633	37.6562895302522	23.9544821609046	123.160511566046	111.202084176038	103.34347711267	98.9404537642083	85.9207172665488	76.0535100980005	down	"many stuck, some swiming fast"
2024-02-25	a	Lophelia	2	71	20:20	21:15	00:55	0.917	0.750	yes	1	203	104	3	29	71	100	14.2857142857143	34.9753694581281	49.2610837438424	78.1747269113541	51.7266498984892	41.1028755784465	128.894493578275	114.300705317766	101.144779417974	114.026100817838	95.9899029325531	83.6581039157933	down	
2024-02-25	b	Lophelia	2	71	20:20	21:15	00:55	0.917	0.750	yes	2	197	105	9	26	69	95	13.1979695431472	35.0253807106599	48.2233502538071	59.1405438861809	49.0956262487592	30.5620516722758	129.087197081363	113.77437838671	105.33480011227	109.93832114924	95.8964742434993	84.9242425938492	down	
2024-02-25	c	Lophelia	2	71	20:20	21:15	00:55	0.917	0.750	yes	3	219	119	3	40	76	116	18.2648401826484	34.703196347032	52.9680365296804	60.1466841056603	44.8100361859037	26.5487160330791	128.909210903277	113.646399583131	104.967282825273	105.197994766168	89.9097225496044	77.9263977245164	down	
